Time,PSZ-AC:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Heat Cap [W],PSZ-AC:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Heat Cap [W],PSZ-AC:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Heat Cap [W],PSZ-AC:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Heat Cap [W],PSZ-AC:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Heat Cap [W],PSZ-AC:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Heat Cap [W],PSZ-AC:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Heat Cap [W],PSZ-AC:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Heat Cap [W],PSZ-AC:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Heat Cap [W],PSZ-AC:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Heat Cap [W],PSZ-AC:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 2:Des Tot Cool Cap [W]
00:15:00,2.686971E-01,8.763110E+03,8.686966E-02,0.000000E+00,0.000000E+00,8.686966E-02,1.548075E+03,8.686966E-02,8.262598E+02,2.793095E+03,3.544925E-01,9.522715E+03,6.585283E-02,0.000000E+00,0.000000E+00,6.585283E-02,1.173541E+03,6.585283E-02,6.263584E+02,2.117347E+03,2.233821E-01,5.899133E+03,3.906474E-02,0.000000E+00,0.000000E+00,3.906474E-02,6.961597E+02,3.906474E-02,3.715639E+02,1.256038E+03,3.401047E-01,9.247933E+03,6.585283E-02,0.000000E+00,0.000000E+00,6.585283E-02,1.173541E+03,6.585283E-02,6.263584E+02,2.117347E+03,2.231628E-01,5.894946E+03,3.906474E-02,0.000000E+00,0.000000E+00,3.906474E-02,6.961597E+02,3.906474E-02,3.715639E+02,1.256038E+03
00:30:00,2.687006E-01,8.763177E+03,8.686966E-02,0.000000E+00,0.000000E+00,8.686966E-02,1.562085E+03,8.686966E-02,8.122495E+02,2.740340E+03,3.544950E-01,9.522764E+03,6.585283E-02,0.000000E+00,0.000000E+00,6.585283E-02,1.184162E+03,6.585283E-02,6.157377E+02,2.077355E+03,2.233838E-01,5.899165E+03,3.906474E-02,0.000000E+00,0.000000E+00,3.906474E-02,7.024601E+02,3.906474E-02,3.652635E+02,1.232314E+03,3.401073E-01,9.247983E+03,6.585283E-02,0.000000E+00,0.000000E+00,6.585283E-02,1.184162E+03,6.585283E-02,6.157377E+02,2.077355E+03,2.231645E-01,5.894978E+03,3.906474E-02,0.000000E+00,0.000000E+00,3.906474E-02,7.024601E+02,4.081664E-02,3.897251E+02,1.271147E+03
00:45:00,2.687039E-01,8.763240E+03,8.686966E-02,0.000000E+00,0.000000E+00,8.686966E-02,1.576096E+03,8.686966E-02,7.982392E+02,2.687941E+03,3.544975E-01,9.522810E+03,6.585283E-02,0.000000E+00,0.000000E+00,6.585283E-02,1.194783E+03,6.585283E-02,6.051170E+02,2.037633E+03,2.233853E-01,5.899195E+03,3.906474E-02,0.000000E+00,0.000000E+00,3.906474E-02,7.087604E+02,3.906474E-02,3.589632E+02,1.208750E+03,3.401098E-01,9.248030E+03,6.585283E-02,0.000000E+00,0.000000E+00,6.585283E-02,1.194783E+03,6.585283E-02,6.051170E+02,2.037633E+03,2.231661E-01,5.895008E+03,3.906474E-02,0.000000E+00,0.000000E+00,3.906474E-02,7.087604E+02,4.244322E-02,4.061354E+02,1.283406E+03
01:00:00,2.687070E-01,8.763299E+03,8.686966E-02,0.000000E+00,0.000000E+00,8.686966E-02,1.590106E+03,8.686966E-02,7.842288E+02,2.635893E+03,3.544998E-01,9.522854E+03,6.585283E-02,0.000000E+00,0.000000E+00,6.585283E-02,1.205403E+03,6.585283E-02,5.944962E+02,1.998178E+03,2.233868E-01,5.899223E+03,3.906474E-02,0.000000E+00,0.000000E+00,3.906474E-02,7.150608E+02,3.906474E-02,3.526628E+02,1.185345E+03,3.401121E-01,9.248074E+03,6.585283E-02,0.000000E+00,0.000000E+00,6.585283E-02,1.205403E+03,6.585283E-02,5.944962E+02,1.998178E+03,2.231676E-01,5.895036E+03,3.906474E-02,0.000000E+00,0.000000E+00,3.906474E-02,7.150608E+02,4.364387E-02,4.165984E+02,1.286071E+03
01:15:00,2.687099E-01,8.763355E+03,8.686966E-02,0.000000E+00,0.000000E+00,8.686966E-02,1.599446E+03,8.686966E-02,7.748886E+02,2.601390E+03,3.545019E-01,9.522895E+03,6.585283E-02,0.000000E+00,0.000000E+00,6.585283E-02,1.212484E+03,6.585283E-02,5.874158E+02,1.972022E+03,2.233882E-01,5.899249E+03,3.906474E-02,0.000000E+00,0.000000E+00,3.906474E-02,7.192610E+02,3.906474E-02,3.484626E+02,1.169829E+03,3.401142E-01,9.248115E+03,6.585283E-02,0.000000E+00,0.000000E+00,6.585283E-02,1.212484E+03,6.585283E-02,5.874158E+02,1.972022E+03,2.231690E-01,5.895063E+03,3.906474E-02,0.000000E+00,0.000000E+00,3.906474E-02,7.192610E+02,4.452933E-02,4.247608E+02,1.289375E+03
01:30:00,2.687127E-01,8.763408E+03,8.686966E-02,0.000000E+00,0.000000E+00,8.686966E-02,1.608786E+03,8.686966E-02,7.655484E+02,2.567040E+03,3.545040E-01,9.522934E+03,6.585283E-02,0.000000E+00,0.000000E+00,6.585283E-02,1.219564E+03,6.585283E-02,5.803353E+02,1.945983E+03,2.233895E-01,5.899274E+03,3.906474E-02,0.000000E+00,0.000000E+00,3.906474E-02,7.234612E+02,3.906474E-02,3.442624E+02,1.154382E+03,3.401163E-01,9.248154E+03,6.585283E-02,0.000000E+00,0.000000E+00,6.585283E-02,1.219564E+03,6.585283E-02,5.803353E+02,1.945983E+03,2.231703E-01,5.895088E+03,3.906474E-02,0.000000E+00,0.000000E+00,3.906474E-02,7.234612E+02,4.516519E-02,4.294384E+02,1.287075E+03
01:45:00,2.687153E-01,8.763458E+03,8.686966E-02,0.000000E+00,0.000000E+00,8.686966E-02,1.618127E+03,8.686966E-02,7.562082E+02,2.532844E+03,3.545058E-01,9.522969E+03,6.585283E-02,0.000000E+00,0.000000E+00,6.585283E-02,1.226645E+03,6.585283E-02,5.732548E+02,1.920060E+03,2.233907E-01,5.899297E+03,3.906474E-02,0.000000E+00,0.000000E+00,3.906474E-02,7.276615E+02,3.906474E-02,3.400621E+02,1.139004E+03,3.401181E-01,9.248189E+03,6.585283E-02,0.000000E+00,0.000000E+00,6.585283E-02,1.226645E+03,6.585283E-02,5.732548E+02,1.920060E+03,2.231715E-01,5.895110E+03,3.906474E-02,0.000000E+00,0.000000E+00,3.906474E-02,7.276615E+02,4.570948E-02,4.328377E+02,1.282702E+03
02:00:00,2.687178E-01,8.763506E+03,8.686966E-02,0.000000E+00,0.000000E+00,8.686966E-02,1.627467E+03,8.686966E-02,7.468680E+02,2.498802E+03,3.545075E-01,9.523003E+03,6.585283E-02,0.000000E+00,0.000000E+00,6.585283E-02,1.233725E+03,6.585283E-02,5.661743E+02,1.894253E+03,2.233918E-01,5.899318E+03,3.906474E-02,0.000000E+00,0.000000E+00,3.906474E-02,7.318617E+02,3.906474E-02,3.358619E+02,1.123696E+03,3.401199E-01,9.248223E+03,6.585283E-02,0.000000E+00,0.000000E+00,6.585283E-02,1.233725E+03,6.585283E-02,5.661743E+02,1.894253E+03,2.231726E-01,5.895132E+03,3.906474E-02,0.000000E+00,0.000000E+00,3.906474E-02,7.318617E+02,4.609414E-02,4.340084E+02,1.274849E+03
02:15:00,2.687202E-01,8.763552E+03,8.686966E-02,0.000000E+00,0.000000E+00,8.686966E-02,1.634472E+03,8.686966E-02,7.398628E+02,2.473369E+03,3.545092E-01,9.523035E+03,6.585283E-02,0.000000E+00,0.000000E+00,6.585283E-02,1.239036E+03,6.585283E-02,5.608639E+02,1.874974E+03,2.233928E-01,5.899339E+03,3.906474E-02,0.000000E+00,0.000000E+00,3.906474E-02,7.350119E+02,3.906474E-02,3.327117E+02,1.112259E+03,3.401216E-01,9.248255E+03,6.585283E-02,0.000000E+00,0.000000E+00,6.585283E-02,1.239036E+03,6.585283E-02,5.608639E+02,1.874974E+03,2.231736E-01,5.895152E+03,3.906474E-02,0.000000E+00,0.000000E+00,3.906474E-02,7.350119E+02,4.636546E-02,4.346469E+02,1.268385E+03
02:30:00,2.687225E-01,8.763596E+03,8.686966E-02,0.000000E+00,0.000000E+00,8.686966E-02,1.641477E+03,8.686966E-02,7.328577E+02,2.448021E+03,3.545108E-01,9.523065E+03,6.585283E-02,0.000000E+00,0.000000E+00,6.585283E-02,1.244346E+03,6.585283E-02,5.555536E+02,1.855759E+03,2.233939E-01,5.899358E+03,3.906474E-02,0.000000E+00,0.000000E+00,3.906474E-02,7.381621E+02,3.926303E-02,3.323301E+02,1.105245E+03,3.401231E-01,9.248285E+03,6.585283E-02,0.000000E+00,0.000000E+00,6.585283E-02,1.244346E+03,6.585283E-02,5.555536E+02,1.855759E+03,2.231746E-01,5.895171E+03,3.906474E-02,0.000000E+00,0.000000E+00,3.906474E-02,7.381621E+02,4.655251E-02,4.341089E+02,1.260167E+03
